controller,meas_kind,filter_model,family,n_sigma,n_infeasible,status,baseline_sigma,baseline_dv,knee_stable,knee_fit,knee_fit_extrapolated,knee_p05,knee_p10,knee_p25,knee_p50
mpc,rf,gim_alfriend,gero,6,0,falling,0.03,122.58340321337661,True,,False,inf,inf,inf,inf
mpc,rf,gim_alfriend,pco,6,0,flat,0.03,93.1652794915097,True,,False,inf,inf,inf,inf
mpc,rf,kgd,along_track,6,2,flat,0.03,4.720806295930258,True,,False,10.0,10.0,10.0,10.0
mpc,rf,kgd,ei_safe,6,0,rising,0.03,34.33449257083777,True,67.48745976255216,True,inf,inf,inf,inf
mpc,rf,kgd,gero,6,0,rising,0.03,12.325094634913722,False,10.947333133146104,True,10.0,inf,inf,inf
mpc,rf,kgd,pco,6,0,flat,0.03,12.553401342015379,True,,False,inf,inf,inf,inf
mpc,rf,ss,along_track,6,0,flat,0.03,68.15023505648038,True,,False,inf,inf,inf,inf
mpc,rf,ss,ei_safe,6,2,falling,0.1,182.46564521945282,True,,False,inf,inf,inf,inf
mpc,rf,ss,gero,6,0,flat,0.03,87.1420461312363,True,,False,inf,inf,inf,inf
mpc,rf,ss,pco,6,1,falling,0.03,193.97173246525693,True,,False,inf,inf,inf,inf
